Date,MMM,ABT,ABBV,ACN,ATVI,ADBE,ADP,AAP,AFL,A,AIG,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMD,AEE,AAL,AEP,AXP,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,AOS,AON,APA,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,AZO,AVB,AVY,BKR,BALL,BAC,BK,BBWI,BAX,BDX,BRK-B,BBY,BIO,TECH,BIIB,BLK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF-B,BRO,BG,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CDAY,CF,CHRW,CRL,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,COP,ED,STZ,CEG,COO,CPRT,GLW,CTVA,CSGP,COST,CTRA,CCI,CSX,CMI,CVS,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DXCM,FANG,DLR,DFS,DISH,DG,DLTR,D,DPZ,DOV,DOW,DHI,DTE,DUK,DD,DXC,EMN,ETN,EBAY,EC,EIX,EW,EA,ELV,LLY,EMR,ENPH,ETR,EOG,EPAM,EQT,EFX,EQR,ESS,EL,ETSY,RE,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FDS,FICO,FAST,FRT,FDX,FIS,FITB,FRC,FSLR,FE,FISV,FLT,FMC,F,FTNT,FTV,FOXA,FOX,BEN,FCX,GRMN,IT,GEHC,GEN,GNRC,GD,GE,GIS,GM,GPC,GILD,GPN,GL,GS,HAL,HIG,HAS,HCA,PEAK,HSIC,HSY,HES,HPE,HLT,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUM,HBAN,HII,IBM,ICE,IDEX,IDXX,IFF,ITW,ILMN,INCY,IR,PODD,INTC,IP,INTU,ISRG,IVZ,INVH,IPG,IQV,IRM,JNJ,JKHY,J,JBHT,SJM,JCI,JPM,JNPR,K,KDP,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LHX,LH,LRCX,LW,LVS,LDOS,LEN,LNC,LIN,LYV,LKQ,LMT,L,LOW,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MTCH,MKC,MCD,MCK,MDT,MRK,META,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MRNA,MHK,MOH,TAP,MDLZ,MPWR,MNST,MCO,MS,MOS,MSI,MSCI,NDAQ,NTAP,NFLX
2021-04-01,1902100,4015100,5091700,2301900,6085500,2664700,1326900,829000,2180800,1126400,3547700,927700,1238900,810300,1126200,854000,610000,735800,894100,2293000,39880000,33980000,8271900,58806000,40182400,1111900,25956200,2180000,2629200,1726900,855400,494700,1142200,701000,2176900,2722600,3345800,649800,1180400,1480200,10303900,75089100,15929200,1894700,2432400,2759400,1578400,844300,263400,42999548,689200,1509400,164700,603700,850900,9454000,2379100,65587000,4046100,5305988,2298600,982053,5573400,2486400,85400,859200,996300,549200,10934500,248200,1844100,776700,5615300,9725600,2352800,407300,1126000,1089000,1146700,1887800,2786000,649400,2994700,2589000,1610400,4638100,19640300,4759900,698600,3787100,591900,1784700,722800,670400,3794200,1886500,697100,1854000,919600,295700,1648100,8515800,202000,1993600,1753300,1298600,719900,402100,17896200,15251300,5785800,1282200,1243000,1280600,15834700,2430400,4881300,16665000,1306500,4445800,10165000,2038200,1201100,,251800,2738000,3782800,2976900,3235000,2938600,7223300,1815400,8038500,1248000,6965300,1744400,1695500,1069100,1561900,9570000,1180900,14127500,2214800,4710600,1334100,1593100,2796900,2105000,1521300,2630700,567600,498400,3698900,2443100,865858,2876100,2263300,2241300,797200,2379400,5210000,1052700,3226000,2424100,1724900,1262500,2340400,3358500,2718100,941100,5864000,240600,4335600,575700,1753800,584000,965400,1775500,235400,1203700,846400,5773716,2839900,861700,1114800,23194500,456200,279300,249500,2940600,648700,1443500,2824100,6138500,,1789100,3901500,4114400,507000,660600,61907500,4659500,1939000,3410600,2378500,3126300,16423800,686100,740400,,3118400,717600,851000,9476806,7171200,17783600,522400,10514200,1144800,371700,2659000,7419000,3143500,878700,1402700,3129600,972500,932200,1916400,12195000,1696900,1415600,3923900,2109600,1667100,4447500,3011000,7866900,776400,8578900,247300,4261404,1956000,51827000,440000,1181200,953000,1361000,1135700,1857300,394600,31416300,2688470,1445100,1357800,5253300,4231400,2980900,1003000,2659400,7229700,383300,570800,413900,1413400,3049000,16561500,3153000,3652900,6344500,9114000,1024800,3235300,3963000,13316800,1885700,4561000,11932700,996400,710800,2463400,2842700,3918400,605600,1780900,1125100,1594900,2002400,1481300,1261600,885900,3192200,1192600,995200,52731200,5490800,245300,2082400,1827200,751600,1879300,3701800,2330300,1808800,2441200,824100,6020900,9121373,17616000,3470600,74100,8840500,4140600,39700600,30338000,830700,7269700,501700,300900,1909000,7649900,507600,3623000,673200,13195600,4908500,582000,410900,1964400,1679100,3938600
2021-04-05,1963000,6314600,10584400,2631300,5251600,2982500,1605600,998300,2619800,1096300,3437700,780100,1256500,1427300,776000,696700,366100,631400,823700,1266700,48510000,43298000,6937500,66698000,32610600,1385600,33657000,1702300,2960100,1716700,577400,551600,997300,738000,2230500,1790600,2628400,530000,940600,1164500,9746400,88651200,14377400,1203200,1489300,1922700,1583600,457000,267100,50996905,513700,950800,148700,544700,449800,5387800,1719700,50328500,3655600,4764924,1893900,1254293,5049600,1641900,91300,392800,744900,593500,13750300,342300,1675100,1199800,4954600,8868100,2296600,645900,931800,794500,722300,1828600,3253000,790800,2688500,2583100,1871400,2047300,40105700,5731800,549400,2323400,387600,2370400,704400,534400,2341800,2374300,1519500,1560800,800600,276300,1443100,8692700,171300,1332200,1692900,1149800,698400,364200,19860900,16128400,4451300,1009000,1072000,1249200,16368700,2543600,4026900,14837900,1575400,3710800,10460000,1818000,941400,,241400,1849800,5685900,3039100,2637000,2705700,6308300,2005900,7239000,939300,6063800,2553500,1338800,1024700,1419500,14599900,1687800,11309100,1834800,3868400,1268000,1526500,2998500,1979300,1853400,2915200,701700,623800,4077900,2481500,825085,2839800,3566400,2333900,1151300,2039000,6672800,681200,1592400,2555400,2424400,883400,2864800,3658800,3653100,1082100,4173300,156700,4589000,398100,2412300,554800,1035600,3628800,341600,899100,866800,6254883,2639200,591400,866500,23264800,766400,253600,233900,3079500,720600,1727200,2401400,6063600,,2549500,3358700,3575400,392500,708400,82332700,4967000,2076000,4097400,1246600,2673100,19365200,864600,581500,,5170000,480900,1189200,8124566,4473200,24633000,574800,6071200,1074500,303400,3235000,7572700,2494100,811800,1138400,3518700,497300,979700,1637600,12192800,2261100,1417400,4697200,2258700,1699900,5065500,3309300,6915200,760800,11603700,356400,5722980,1508800,32690200,359900,1687000,1015100,1008100,914400,1839800,369100,27947500,2902944,1473600,1697700,4379400,4271600,2475200,604800,1869300,7387100,411400,660700,474900,676100,2726200,13508000,2246700,2496600,6008600,6661300,789900,2035300,2769400,11057300,1496100,4416500,9525500,950900,417200,2345400,1439500,3094700,728400,1772900,1484800,1400000,1653200,1202800,1489300,815000,3507200,1357200,888500,27964500,5589900,227700,2352400,1798300,454100,1224400,2180300,1403900,1226300,2866300,674800,4984400,9828144,28237000,3980700,70300,13884200,4198200,19795100,36910600,638000,5218300,438900,233200,1803400,6538200,378000,4506600,571600,10458800,5342200,780500,516400,2197500,1478000,3355900
2021-04-06,1472700,5146400,8522500,1786600,8070000,1878300,1532600,901400,1975500,1623200,3753100,743900,1376300,2764200,888000,858400,650200,1515400,993400,1439000,35240000,27060000,7169300,50756000,29327900,1011000,31099400,1733300,2851200,1771800,848200,409800,795800,947300,2040100,2149300,2422100,358200,956700,1035000,6903600,80171300,18004800,1593200,1806900,2013200,1652000,931100,228400,44574314,731600,898400,208100,560900,494800,8315300,1903900,42590100,3120400,7208741,1885800,934800,3060600,3604100,146600,926000,1006500,492300,11180300,411100,1808100,1450900,7676500,14002200,1806300,419200,686100,528300,795600,1883000,2660800,972700,2575000,2264500,1410500,1516500,35528100,6692600,665200,2614500,336000,1612400,785700,658400,3201500,3248600,2053500,1650000,812400,384400,874400,8125100,251000,1966400,1162500,1391100,499400,339200,15126100,12908400,3799900,1221600,1115900,1440400,15614300,2346400,3814800,15551900,968200,3105000,6253600,1255100,1166700,,368400,2392200,5570700,2541300,3296000,2142000,5411000,1751200,9061200,901100,6746500,2658900,1469400,638600,1309700,14652500,1232600,12527800,3251600,2533100,1266600,1480700,2353300,1823600,1836600,2448500,510000,566000,3420300,2810800,513358,3634300,2390400,1615400,1052500,1393100,6396900,752400,1604800,2324600,2129800,963200,2488400,2843700,2647200,1279700,3390600,184200,3359900,401700,3748400,421100,1179800,3038800,262300,1500800,693200,5674315,1943800,688000,886100,18926300,437900,216000,169600,2892700,796100,1407200,2559900,4109000,,1555700,5174500,2990000,298800,784300,67499400,6241500,2188600,3798900,1090800,2416300,22081100,661400,1014000,,3163100,784000,930500,6413359,4969600,39518700,580500,5708300,734200,510300,1801700,7135900,2254300,750700,1288300,3683300,651600,941500,1390900,9396400,1719500,1677500,3988600,1796000,1748700,7639000,4111500,8973300,1265700,9345400,308800,3787566,2196300,19015400,335300,1942800,1011400,3178300,913600,1249000,356600,28771400,2568931,813300,1155900,3237500,3609300,3354200,850400,2241500,5074200,346300,650000,374800,852400,2619900,13071600,2350500,1897900,8746900,6868300,997900,1882800,2736300,11344200,1690400,4958000,12831100,1092900,401300,2323600,1316200,4249600,889500,1594900,1187000,1615800,1807800,1633400,1035700,649600,2917700,1672300,872200,23066300,5009000,288700,1754300,1139000,366800,2581700,2661900,1319500,1231400,3230900,790900,5128200,13394698,17335200,3956300,104500,10311900,2843600,22847000,22931900,636800,7438200,607200,235100,1977200,6514100,486500,3346600,511000,9445000,7185800,634300,232200,1449000,1902700,3474200
2021-04-07,1501500,4313000,8037300,2736300,4469200,1576800,1703500,443900,1893100,954600,2719700,853600,1113800,1246700,1292200,912300,453900,534700,1276800,1891600,24134000,25798000,6101600,66924000,35590900,1239100,27792500,1883100,2399500,2143200,611600,373600,765800,555300,1583500,4129600,2062700,245300,730000,1020300,6274000,83466700,13702700,1189700,1231000,1719800,1090800,1046000,339100,53821262,563500,718700,168800,417700,323200,6556900,1687200,43136400,3351600,6179310,1017000,791813,3582700,2502800,105500,618800,851400,477100,9925700,235500,2493400,856400,4861400,11799700,1207400,369300,852400,664000,503500,976100,2022100,647700,2376600,1805900,1288100,865000,70953700,6117300,708600,2449600,431300,1786900,483700,689100,2723500,3693600,963300,1211200,620000,451500,644500,7699300,523600,1256100,1278700,1358800,487400,283200,15783600,14081400,2948600,1429400,1099300,1574500,10062700,1750500,5027800,17331800,848400,4262000,12408400,1487800,1348300,,354700,2194800,3445100,2208900,3146000,1808400,5053300,1900000,6040800,772400,5137400,1614300,2209900,547900,1299300,12244300,2048600,7821400,1802400,2096400,1726700,1294700,1707700,1714100,1010000,3060300,282800,435100,2374000,2282100,928250,2549200,2193600,2455700,683100,1882500,5848100,856700,1340500,2549100,1910200,857800,3406600,2847400,2123500,1690900,3552300,139200,3953900,612900,1717700,403200,905600,2208100,256200,2033100,912500,6451864,3002900,1023100,732600,22385000,647300,247900,117900,3497500,595100,1469200,2676400,3109900,,1942000,7387900,3133600,337000,610900,42264000,5352500,1812500,3164900,1129700,1777900,16292900,632100,2214200,,2840600,566200,984900,6687685,3846300,17167900,529800,5188700,977000,243700,2157300,5875500,1691900,603300,1583200,4155200,880700,771800,1973800,7076700,1803800,1479100,3799300,1717200,1462300,7210100,2676400,6836800,554800,5794900,289300,3112896,2436100,19808600,239000,954400,1095800,1000300,1434300,1494200,282500,17793300,2276419,713700,1101000,2280700,4002200,2752000,639700,1471500,4608000,305200,554500,269000,724400,3222200,16903500,2575100,1749100,4018900,7573200,680800,1498400,2360100,11090900,985500,3678200,11805600,797200,423900,1468900,2575200,3937300,488700,1847900,1044400,3015900,1283300,1600500,976900,648200,3276300,1115500,577100,18930800,3850300,214400,1577100,1334600,444700,2362400,2958300,1249600,1211600,2551300,683900,4299600,8970566,22855200,4379800,63800,6764700,2248800,17621500,22719800,639400,4380000,399600,230600,1886500,7403400,314900,3219800,508500,8329300,3707700,617400,190100,2040900,1275200,2151300
2021-04-08,2391800,3768800,5881800,1600600,3590000,2026000,1972300,546200,2787900,925100,3474900,707000,1797600,1278600,852600,732400,826800,544400,1430900,1516000,28664000,27166000,6511200,56242000,41925300,1395200,28606600,2814800,2295600,1791700,657300,330500,595600,1945900,1633600,3017100,2599500,295900,1201200,1394700,6176200,88844600,10238000,1321000,1372600,1759700,1070000,882400,390800,66037678,848400,1220400,137900,397400,452300,13464400,1511600,45285900,3119400,4730535,2174700,1378728,3113300,1776800,118100,923600,800900,558500,9899900,222000,1982400,768200,3992100,7846900,1812100,592500,742700,754500,984700,1190900,3608100,507300,2176400,2193500,1708900,1015700,37870800,5212400,742600,2158900,375100,1448000,782800,927600,4613900,5406400,1176100,1925700,658800,489300,835000,8283000,229600,1600800,1476200,1692800,518200,437700,15111300,13677100,3236100,1484100,1189700,2313000,9695600,3345300,3773000,10780300,1062000,4523700,10040800,1855500,4390500,,324900,1825600,4043400,2181800,1876000,2839200,7117000,1606400,7561800,1144400,5180100,2019500,1351600,862100,1250700,13546900,1896900,7749200,1728000,3255900,1510700,1682400,2540300,2023400,1024600,2624500,362200,473000,3638900,2036500,718278,4922400,2480000,1565700,674300,1743300,3948400,1418100,1617000,2461200,1776000,663000,2393200,2422300,2105000,770300,4445200,297800,4810300,736300,1482500,327600,846400,3606000,266600,1321000,1337100,8359145,2553300,825000,596300,21999300,979000,339600,224300,3519700,604800,2276000,4535500,3341200,,1536400,4979800,2952300,305500,652600,52622000,3825500,2995700,3289900,1366200,2988200,15831400,643500,678300,,3423600,458400,887400,8793905,3236700,19016300,614200,6778500,922200,227000,2402800,7057700,3425400,1743600,1110400,4138900,949700,995300,2600100,7950300,1847100,2122900,4035600,2071700,2055100,8094100,1818300,7066500,913400,8131400,263600,4275211,2644900,13497000,250900,874500,1606000,749800,1457800,1515800,362300,22224200,2017382,1397000,906000,2574800,2288300,3354900,641900,1499100,5039400,248500,550900,447200,1014900,3415700,12335500,2759400,2162100,7082100,9500600,1035900,1527400,3335900,11098400,1125000,4233200,9538800,1040000,434200,1204500,2490400,2298100,646400,1692800,1142900,2003800,1288200,1617500,1863400,633500,2684300,1353900,1174200,16430300,6030800,203900,1522300,1316100,357600,2103900,3528400,2715100,2671700,2772200,811700,3393800,12007984,20894100,2989100,75600,8191000,2926000,17815600,23625200,588700,4530000,476200,224200,2915100,4923000,352800,3320400,793100,9352700,5461400,598500,308600,2213100,1508000,4309800
2021-04-09,2159600,4102500,5977500,1787800,4301000,1886900,1128500,831000,3644800,1552200,3141600,953200,1045400,909500,638900,891400,951200,558500,987700,1630700,26146000,20888000,5654700,86830000,32759900,1371800,21307700,2952800,1783400,1888200,609700,434500,704400,865000,1368600,2147500,2250400,296400,1626900,1226700,6211300,106686700,9637200,929200,1403800,2420100,1223200,766200,242400,44111311,543200,1032700,240000,538600,915300,11896400,2270400,45872900,3172400,3748110,2781300,1256753,6052500,2126800,125900,730400,874100,484200,12255900,239800,1412900,963400,5426100,7868000,1661400,421100,851600,788000,605200,1310900,2116300,524200,1661600,2107200,1284200,1095900,36287700,5578100,790700,2482900,509000,954700,855200,666300,3661700,5558500,537700,1286400,547500,263200,1040000,7163700,224800,2077300,1329100,1654600,902100,417700,13135800,14586400,3154800,1317100,1052200,2968200,10828200,1985700,3509000,18205900,1173800,5036400,6665300,1680400,2993200,,277300,2959400,3953200,2552900,1682000,1610800,5894500,1390800,6457200,995200,4662700,1502000,1340300,472800,1224500,9785400,1161100,6826300,1725200,1823800,1385000,1604100,2825500,1949100,1341900,2075100,440600,350600,3721000,2169800,719335,2028700,2911700,1559200,889700,2430800,3801000,758200,1591300,2550800,1765500,833600,2611200,3256300,2033700,808500,4065700,257100,3746600,356200,1621000,245800,690200,2723500,185100,1362000,1132000,6180296,2032900,741600,464200,20020700,396700,212100,123200,4367700,516600,2039400,2639200,3549900,,1937600,1994800,3649200,372800,580200,40555400,2917000,2996700,2357200,651700,2602800,14028600,464800,979900,,2541300,374900,1258200,10127266,3895700,12182300,1015100,5848300,745700,345000,2347100,4708100,2390800,718000,1370800,3036000,703800,714200,2433600,10800600,921500,1366800,4607800,3861900,2210700,9700500,1537400,6635300,757200,7019600,233400,3162999,1657600,10617700,335600,1108200,1071600,662000,1329300,1296100,214100,27177100,1700582,1003500,1065900,2791400,1753400,2484800,567100,961700,8418300,284800,481700,437100,859000,4073600,12122400,3437700,2614500,5654100,9630900,657600,1487100,2727700,11681100,913800,5485600,7618700,967600,482500,1273400,904600,3232200,661700,1888400,874800,1599000,1452600,1306900,1400900,747000,3168500,1790000,1088900,17129100,3191900,192900,1601700,1117400,337700,1301900,2429300,1425300,959500,2728900,688000,3918700,8177439,15988600,3692000,93500,4883300,2659200,14080200,24326800,474000,9918200,472000,353500,2166900,5341900,293500,2752200,551700,10693500,4602300,604200,234800,1765800,1704800,2894000
2021-04-12,1682100,2915900,5647500,1437500,4719900,1584600,1398000,613600,2731200,1166300,3095300,681900,1053600,1024900,793000,772300,524300,478000,1267600,1894000,25024000,31318000,5849400,65636000,62098800,1664100,27165700,3324800,1869000,1463200,742100,578500,1030200,784100,1722000,3052900,2026700,354100,825700,1497600,5602600,91420000,11147500,895100,1375600,1750900,1282400,557800,313800,32913051,479300,1378600,207900,490300,491200,8244000,2370300,45544600,2843600,2779910,1726300,1038530,4292900,2394500,90000,895600,753600,482800,10383600,551400,2485300,947500,4140700,11163000,2324700,473400,1156500,716500,612300,1120100,3067700,544400,1732400,2384600,1645300,1164000,39161600,5868600,1035100,1688200,375400,1172200,777500,1207200,2986900,6640000,650800,1541100,762400,198600,695600,7845900,301900,1173700,1347400,2127200,588600,274600,16441700,12002400,3263200,1441900,1296600,2635200,8565300,2358500,3510400,14826200,785800,5388900,8564000,1454700,1167300,,228000,1580000,4606900,2449800,1843000,1836600,7062300,1425200,6730500,849600,4233400,2576900,693400,571000,1165100,11070300,1221900,7475500,2360000,1633600,974400,1526300,1707100,2192200,1461800,2396500,420000,597300,3143800,2623700,654358,3784600,2554200,2509300,736100,1437800,5003600,377100,1580500,2600500,2058100,788200,2876100,2258600,1636900,745300,3403700,361900,4218700,286300,1713000,358200,780700,1878900,262600,925200,1251200,6505280,1776700,1175200,728700,20238800,570100,212800,122800,5731800,567600,1773300,2112700,3207700,,2283800,2355800,2670400,302500,789900,40422800,4068500,2052700,2782400,1118500,3046400,15141300,414900,658800,,3770700,448400,1132700,6737580,3445700,10231000,479600,4909100,1008900,444600,2318800,4839800,1652800,737700,1112200,3034700,723000,942700,2436000,8039300,2057800,2148600,3556800,2660100,1710600,8242500,2355500,7861600,790000,7937200,224100,3926684,2070800,20712400,433400,3669700,843300,646300,1305100,2920100,163100,51266900,2841907,1251600,1008600,4513300,3475900,4810900,929400,2038300,5022800,363300,1176800,518800,1238700,2795600,12273400,2639000,2141800,4741500,5648700,809900,1716700,2772500,12844400,1376100,5609900,7381600,755100,529100,1581100,1047200,2716200,978500,1992700,719700,1479900,1333600,2087900,1067400,700000,3647900,1272900,1022700,16323000,3677900,180800,1305800,956700,329700,1542600,2896600,1448600,1277400,2292700,839200,4361400,9970672,10881900,2671400,91200,5732500,2724600,18818300,27148700,713200,6060200,429800,321900,1532300,7362300,283100,2734400,654800,8939700,5209100,771700,317900,1774200,1391600,2944100
2021-04-13,2259700,4944600,6165100,2228000,5710800,2195400,1979000,632300,3074600,1593700,2958100,893500,1079800,3012600,1061900,982600,390800,490900,1151700,1720900,25682000,23310000,7096700,66316000,37767300,1432100,44741600,2460600,2132100,2242200,738700,626900,1213100,1022200,1766000,3619000,1704600,470300,701500,1389100,5616600,91266500,8034300,1249500,1382400,2077200,1445600,552500,329000,54794270,740200,1007800,147800,530900,611300,8779000,1619800,46770400,3233100,3028052,1504700,999170,3556600,2449600,89300,1137200,823300,376200,15901400,789700,2083300,1185400,6582100,9451100,1528100,329100,845100,933500,604900,1059100,2442100,540800,2345100,2335600,1824500,1228100,27690600,7778500,1379400,2286400,373100,2113300,577800,769400,3400000,7432400,514600,1529600,882300,274000,736900,6829900,235300,1459000,1048000,1423500,663100,248300,13353200,16150000,3791900,1641400,1369800,2368000,11071700,2371000,4442500,15783000,1417100,3340600,6980000,1855100,965900,,177200,2106800,3130900,2542700,2179000,1796400,5523700,1473500,6452700,1245900,3934100,6157000,1293500,1028100,985100,18287600,2165100,7356600,1898400,1941400,1288800,2701500,4712700,2277600,1115500,3527000,494900,559300,4471600,2598300,735550,3661300,2216700,3060100,775700,1535900,5264900,508800,1244900,2042700,2105300,689000,3089100,2728300,1531700,1110800,2229500,276600,3454400,459000,1344200,377600,863600,2023600,241600,914800,1623900,7324889,2644600,790900,707700,19370600,427200,237700,108000,7567300,444400,1713700,1782600,5205700,,1244000,2899800,3370100,300800,618900,51556000,4163000,1960300,2546100,1279400,5566700,10889700,486800,623000,,5766200,363400,1237200,8202211,3403000,17416600,850600,6143400,759600,369900,3575900,5474800,2219800,1723200,1586000,2458800,765300,1136700,2040300,8504500,3377700,1972700,3635100,2749900,1971800,7729500,1902400,9579700,687600,9654500,366400,8403041,1690400,13051300,406400,1124200,821000,701900,1399100,2750000,170100,26822000,1925405,1550200,1286100,3581800,2994200,4509100,505900,1196800,18424100,385900,891200,660300,1176600,2709800,16113600,4129100,2153500,3646600,7421800,924600,1616900,4325900,12560500,1226400,7243600,10907700,548700,552500,1350100,790100,3954800,926500,2075400,961100,1543600,3035400,1468200,1124300,639600,2964500,1257100,1081800,13630700,3059300,257300,1865500,1110800,471300,1526200,2652800,1371400,1496000,2570900,941100,6238700,8627346,14036900,3406700,70900,9363200,3042000,27102100,23837500,446500,13729000,556500,232400,3599500,7038900,192700,4279800,680400,7085200,4680500,698900,319400,1590300,1319400,2720300
2021-04-14,1575000,4726500,7766700,1903500,4066500,1956400,1651600,765900,2255700,1499300,3391100,631700,1351300,1550200,1104600,509500,395600,310900,964000,1683000,21002000,20220000,6025200,62904000,34263800,1279400,33969600,2563300,2141800,1637200,929100,624200,1051000,707000,1753800,2898800,1596400,299800,858600,1826000,8779600,87222800,8134200,1044900,1064200,2022100,907600,575800,416300,41425180,575300,881100,171200,392000,722600,10735900,1597900,52023800,4219000,4023714,1576500,1131600,3119900,1525400,107000,722000,697400,552900,12661800,939600,1688900,833300,4093900,7639900,1822000,318500,1042000,848700,974100,1294700,1865100,676900,1477000,2924400,1343200,766500,23267500,4651100,660200,2491000,499300,1367200,1199600,414800,2696000,7981300,999400,2449300,736700,225600,839300,10194800,222700,1418100,1058500,1169100,533600,326400,15376600,19476600,3986000,1183000,839200,2119900,9787600,2276500,4129600,13334600,1200500,3041900,8342200,1408600,911900,,188700,2756600,3110300,2958000,2250000,1509400,7538600,1564500,9633600,1045000,3968700,2611000,959400,654300,1077100,12520400,1941300,11993200,2041200,2961400,725000,2063900,2748400,2396800,1710700,2946800,401400,700300,4234400,1938600,1012498,3604100,1760700,2900400,723900,1552200,9522800,804300,1446300,1963300,1424900,663200,2002100,2889500,1727000,1004700,4710200,700000,4301000,404300,1089000,227300,776800,1723200,244900,891300,1044500,5405411,2408800,1313200,924100,28051100,595200,308200,92400,4310000,727600,1099900,1647800,4316400,,2144800,2004400,2412500,266600,591800,49877500,4196500,1331800,3000000,1512400,3135700,35697600,456300,471800,,6103100,482200,823900,10350320,3329900,14618100,592900,5654100,1109000,371100,9876800,9667000,2682700,1069300,1246200,2091100,772800,889300,3151900,7802200,2461100,1710700,3440600,2186500,1627100,5220200,4282600,7798500,640200,8893900,428400,6137928,1773700,33830900,273600,897400,730900,655600,1040600,1989800,582500,25768400,2567347,1016600,1113000,4094900,1628100,5222400,814500,1305100,7718300,507700,1184900,696700,835600,2313100,19939600,3279500,4317900,3739400,7120100,955200,1603900,2506200,12013600,1186100,10340200,6639700,655500,644700,894500,826400,3587100,933000,1525700,923300,1325400,2379200,1412200,1078800,560600,3371900,1544200,829200,21621800,4587500,181600,1676600,1097600,489700,1396800,2317400,900700,877300,2129200,694100,5845000,8415545,17421400,4341400,75900,6532800,2167400,19117400,23070900,423800,15389800,387100,193600,2066900,5782700,251900,3646600,481000,10585500,5337900,693000,407300,1657200,2352800,3740300
2021-04-15,1461600,4510900,5730500,2047500,7324200,2122300,1173400,609300,2164500,2121300,4451900,778200,1956500,1750600,1036700,615600,443800,559400,1113400,1792800,29174000,27472000,9045200,64672000,68942800,1289600,34424100,3004300,2901200,2096400,1069200,560900,1197700,1006000,2366300,2101100,1816000,342000,795200,1232700,4932100,89347100,8269400,1272600,1532400,1733900,1140000,650100,408300,35073819,651500,1103500,108100,958200,525100,7231000,2216700,118128900,7748100,3760604,2879700,2120520,3919200,1453900,98900,870400,986300,766900,9479000,639300,1821400,817100,8608100,9834000,1837000,638400,1342800,742600,1216200,1098900,1800900,430200,1688700,3432600,1776900,722700,24024400,7090900,721200,1860200,534000,1524300,893700,722500,3813600,5350800,676100,1291700,1202400,330700,911400,7860500,231700,1723800,998700,1670000,643600,280200,17869800,31333400,7092300,1107700,2105200,2103100,13078100,4530400,4010400,18330600,2025500,1901400,6763700,3009200,1305200,,345800,3368800,3392000,2190300,2543000,1850100,5565500,2242500,8825700,934100,5037700,2300000,1456300,764300,1127000,22267900,840600,6988400,2102000,1816900,965800,2218200,2503600,2010200,1413600,3683100,454000,565100,2632500,2771800,1241858,3271600,1667800,1622800,689700,1619900,4677400,641200,1329200,1860700,1654300,1350300,2586600,3053000,2775300,977500,3520900,367900,3377400,354800,1974100,539600,936500,1818900,208900,1110900,1624800,8309654,1969500,779800,604100,23250300,453100,388400,164000,3551300,884900,1389800,3045400,6049500,,1856500,2365400,3054500,340700,611800,38209300,5682000,1824300,3808400,1054500,3158300,27185800,444400,332600,,5988200,454600,922900,8147448,4159100,14395700,484600,5635000,1169300,319300,4354800,6516600,2346500,845300,1322900,1954300,640400,1079600,2123500,10702500,1193000,1771500,3508200,2009400,2211900,6304000,2142200,7402600,1151400,10011800,345600,4062664,2091600,35367300,438700,986500,1232000,980000,714000,2174100,278600,24927700,3077606,914800,1236900,4209500,2603400,5313200,1129700,1660500,7524600,489700,833500,940000,576200,2336300,17694100,2619900,2079500,8546300,9358900,998100,2318000,14309100,11580700,1198100,6743000,6425100,912200,728300,1090000,1053900,2550600,1071600,2275400,1524100,1449100,2332300,1764800,1289400,436600,3656300,919300,1316400,20896600,4410700,151900,1412700,1624200,355600,1821400,2942200,1426800,769400,2063000,751400,5605300,14541734,14558300,4553600,87700,7631000,2732800,16017000,25627500,542300,10340400,360600,176800,2123100,5618600,237000,2614800,694900,9930800,3543500,580000,328300,1976100,2046800,3139100
